,age,decile_score,priors_count,decile_score.1,v_decile_score,priors_count.1,two_year_recid,sex_Female,sex_Male,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race_African-American,race_Caucasian,race_Other
0,69.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,0,0,0,1
1,34.0,3.0,0.0,3.0,1.0,0.0,1.0,0,1,1,0,0,1,0,0
2,24.0,4.0,4.0,4.0,3.0,4.0,1.0,0,1,0,0,1,1,0,0
3,23.0,8.0,1.0,8.0,6.0,1.0,0.0,0,1,0,0,1,1,0,0
4,43.0,1.0,2.0,1.0,1.0,2.0,0.0,0,1,1,0,0,0,0,1
5,44.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,1,0,0,0,0,1
6,41.0,6.0,14.0,6.0,2.0,14.0,1.0,0,1,1,0,0,0,1,0
7,43.0,4.0,3.0,4.0,3.0,3.0,0.0,0,1,1,0,0,0,0,1
8,39.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0
9,21.0,3.0,1.0,3.0,5.0,1.0,1.0,0,1,0,0,1,0,1,0
10,27.0,4.0,0.0,4.0,4.0,0.0,0.0,0,1,1,0,0,0,1,0
11,23.0,6.0,3.0,6.0,4.0,3.0,1.0,0,1,0,0,1,1,0,0
12,37.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0
13,41.0,4.0,0.0,4.0,2.0,0.0,0.0,0,1,1,0,0,1,0,0
14,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,1,0
15,31.0,3.0,7.0,3.0,2.0,7.0,1.0,0,1,1,0,0,1,0,0
16,37.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,1,0,0,0,0,1
17,25.0,10.0,3.0,10.0,9.0,3.0,0.0,0,1,1,0,0,1,0,0
18,31.0,5.0,6.0,5.0,4.0,6.0,1.0,0,1,1,0,0,0,1,0
19,31.0,3.0,5.0,3.0,2.0,5.0,1.0,0,1,1,0,0,0,1,0
20,64.0,6.0,13.0,6.0,3.0,13.0,1.0,0,1,0,1,0,1,0,0
21,21.0,9.0,1.0,9.0,9.0,1.0,1.0,0,1,0,0,1,1,0,0
22,27.0,2.0,0.0,2.0,3.0,0.0,1.0,0,1,1,0,0,0,1,0
23,21.0,4.0,0.0,4.0,5.0,0.0,0.0,1,0,0,0,1,0,1,0
24,24.0,4.0,1.0,4.0,5.0,1.0,1.0,0,1,0,0,1,0,0,1
25,43.0,1.0,1.0,1.0,2.0,1.0,0.0,0,1,1,0,0,0,1,0
26,32.0,3.0,0.0,3.0,4.0,0.0,0.0,0,1,1,0,0,0,0,1
27,27.0,3.0,8.0,3.0,3.0,8.0,1.0,0,1,1,0,0,1,0,0
28,36.0,3.0,3.0,3.0,1.0,3.0,0.0,1,0,1,0,0,0,1,0
29,26.0,7.0,5.0,7.0,7.0,5.0,1.0,0,1,1,0,0,1,0,0
30,33.0,10.0,0.0,10.0,6.0,0.0,1.0,0,1,1,0,0,1,0,0
31,30.0,9.0,9.0,9.0,10.0,9.0,1.0,0,1,1,0,0,0,1,0
32,32.0,8.0,4.0,8.0,3.0,4.0,1.0,0,1,1,0,0,1,0,0
33,55.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,0,0,1,0
34,49.0,3.0,7.0,3.0,2.0,7.0,1.0,0,1,0,1,0,0,0,1
35,26.0,8.0,6.0,8.0,8.0,6.0,0.0,0,1,1,0,0,0,1,0
36,33.0,5.0,4.0,5.0,2.0,4.0,1.0,1,0,1,0,0,0,1,0
37,24.0,2.0,1.0,2.0,3.0,1.0,1.0,0,1,0,0,1,0,1,0
38,34.0,9.0,21.0,9.0,6.0,21.0,1.0,0,1,1,0,0,1,0,0
39,29.0,2.0,0.0,2.0,2.0,0.0,0.0,0,1,1,0,0,0,1,0
40,21.0,8.0,2.0,8.0,8.0,2.0,0.0,1,0,0,0,1,1,0,0
41,51.0,1.0,2.0,1.0,1.0,2.0,0.0,0,1,0,1,0,1,0,0
42,29.0,2.0,2.0,2.0,2.0,2.0,1.0,0,1,1,0,0,0,1,0
43,51.0,2.0,7.0,2.0,2.0,7.0,0.0,1,0,0,1,0,1,0,0
44,29.0,7.0,0.0,7.0,2.0,0.0,1.0,0,1,1,0,0,1,0,0
45,25.0,10.0,9.0,10.0,9.0,9.0,1.0,0,1,1,0,0,0,1,0
46,35.0,8.0,13.0,8.0,3.0,13.0,1.0,0,1,1,0,0,1,0,0
47,49.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,0,0,1,0
48,34.0,3.0,4.0,3.0,2.0,4.0,1.0,0,1,1,0,0,1,0,0
49,29.0,4.0,0.0,4.0,3.0,0.0,0.0,0,1,1,0,0,1,0,0
50,29.0,2.0,1.0,2.0,2.0,1.0,1.0,0,1,1,0,0,0,1,0
51,28.0,2.0,0.0,2.0,2.0,0.0,0.0,1,0,1,0,0,0,0,1
52,48.0,6.0,20.0,6.0,4.0,20.0,1.0,0,1,0,1,0,0,1,0
53,63.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,1,0,0,0,1
54,31.0,5.0,15.0,5.0,7.0,15.0,0.0,0,1,1,0,0,1,0,0
55,24.0,4.0,2.0,4.0,4.0,2.0,1.0,0,1,0,0,1,1,0,0
56,30.0,7.0,0.0,7.0,3.0,0.0,0.0,0,1,1,0,0,0,0,1
57,49.0,1.0,4.0,1.0,1.0,4.0,0.0,0,1,0,1,0,1,0,0
58,53.0,5.0,8.0,5.0,2.0,8.0,0.0,0,1,0,1,0,0,1,0
59,35.0,3.0,5.0,3.0,2.0,5.0,0.0,0,1,1,0,0,1,0,0
60,63.0,7.0,10.0,7.0,5.0,10.0,1.0,0,1,0,1,0,1,0,0
61,27.0,10.0,15.0,10.0,9.0,15.0,1.0,0,1,1,0,0,1,0,0
62,38.0,2.0,4.0,2.0,2.0,4.0,1.0,0,1,1,0,0,0,1,0
63,22.0,4.0,1.0,4.0,6.0,1.0,1.0,0,1,0,0,1,1,0,0
64,22.0,10.0,2.0,10.0,9.0,2.0,1.0,0,1,0,0,1,1,0,0
65,29.0,9.0,4.0,9.0,5.0,4.0,1.0,0,1,1,0,0,1,0,0
66,62.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,0,0,0,1
67,27.0,6.0,6.0,6.0,3.0,6.0,1.0,0,1,1,0,0,1,0,0
68,33.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,1,0,0,0,0,1
69,56.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,0,1,0,0
70,45.0,1.0,6.0,1.0,1.0,6.0,1.0,0,1,0,1,0,0,0,1
71,22.0,4.0,1.0,4.0,6.0,1.0,0.0,0,1,0,0,1,0,0,1
72,39.0,4.0,1.0,4.0,2.0,1.0,0.0,0,1,1,0,0,1,0,0
73,29.0,6.0,5.0,6.0,3.0,5.0,1.0,0,1,1,0,0,1,0,0
74,27.0,6.0,1.0,6.0,3.0,1.0,1.0,0,1,1,0,0,0,1,0
75,40.0,2.0,2.0,2.0,1.0,2.0,0.0,0,1,1,0,0,1,0,0
76,22.0,3.0,1.0,3.0,3.0,1.0,1.0,0,1,0,0,1,1,0,0
77,22.0,8.0,0.0,8.0,6.0,0.0,0.0,0,1,0,0,1,0,1,0
78,26.0,4.0,1.0,4.0,3.0,1.0,1.0,1,0,1,0,0,1,0,0
79,27.0,7.0,1.0,7.0,8.0,1.0,1.0,0,1,1,0,0,0,1,0
80,32.0,2.0,0.0,2.0,1.0,0.0,0.0,0,1,1,0,0,1,0,0
81,41.0,2.0,1.0,2.0,2.0,1.0,0.0,0,1,1,0,0,1,0,0
82,30.0,10.0,8.0,10.0,9.0,8.0,1.0,0,1,1,0,0,1,0,0
83,50.0,1.0,0.0,1.0,2.0,0.0,1.0,0,1,0,1,0,0,0,1
84,25.0,10.0,14.0,10.0,10.0,14.0,1.0,0,1,1,0,0,1,0,0
85,20.0,5.0,0.0,5.0,8.0,0.0,1.0,0,1,0,0,1,0,0,1
86,22.0,9.0,2.0,9.0,10.0,2.0,1.0,0,1,0,0,1,1,0,0
87,23.0,7.0,2.0,7.0,8.0,2.0,1.0,0,1,0,0,1,1,0,0
88,35.0,2.0,1.0,2.0,1.0,1.0,0.0,1,0,1,0,0,1,0,0
89,36.0,7.0,9.0,7.0,6.0,9.0,1.0,0,1,1,0,0,1,0,0
90,26.0,8.0,7.0,8.0,4.0,7.0,1.0,0,1,1,0,0,0,1,0
91,21.0,6.0,1.0,6.0,6.0,1.0,1.0,0,1,0,0,1,0,0,1
92,25.0,8.0,9.0,8.0,9.0,9.0,1.0,0,1,1,0,0,0,1,0
93,71.0,7.0,12.0,7.0,3.0,12.0,0.0,0,1,0,1,0,1,0,0
94,20.0,7.0,0.0,7.0,8.0,0.0,0.0,1,0,0,0,1,0,1,0
95,39.0,1.0,2.0,1.0,1.0,2.0,1.0,0,1,1,0,0,0,1,0
96,66.0,1.0,3.0,1.0,1.0,3.0,0.0,0,1,0,1,0,0,1,0
97,54.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,1,0
98,44.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,1,0,0,0,0,1
99,19.0,4.0,1.0,4.0,7.0,1.0,1.0,0,1,0,0,1,1,0,0
100,24.0,2.0,1.0,2.0,3.0,1.0,0.0,0,1,0,0,1,1,0,0
101,30.0,2.0,1.0,2.0,2.0,1.0,0.0,0,1,1,0,0,1,0,0
102,39.0,1.0,0.0,1.0,1.0,0.0,1.0,1,0,1,0,0,0,1,0
103,24.0,6.0,8.0,6.0,6.0,8.0,1.0,0,1,0,0,1,0,1,0
104,30.0,4.0,0.0,4.0,2.0,0.0,0.0,0,1,1,0,0,0,1,0
105,31.0,5.0,0.0,5.0,2.0,0.0,0.0,0,1,1,0,0,0,1,0
106,39.0,4.0,1.0,4.0,3.0,1.0,0.0,1,0,1,0,0,0,1,0
107,59.0,9.0,14.0,9.0,4.0,14.0,1.0,0,1,0,1,0,1,0,0
108,43.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,1,0,0,0,1,0
109,21.0,9.0,3.0,9.0,6.0,3.0,1.0,0,1,0,0,1,1,0,0
110,38.0,4.0,5.0,4.0,3.0,5.0,1.0,0,1,1,0,0,0,1,0
111,34.0,5.0,0.0,5.0,5.0,0.0,0.0,0,1,1,0,0,0,1,0
112,33.0,5.0,5.0,5.0,2.0,5.0,1.0,0,1,1,0,0,1,0,0
113,37.0,2.0,3.0,2.0,1.0,3.0,0.0,0,1,1,0,0,1,0,0
114,42.0,2.0,1.0,2.0,2.0,1.0,1.0,0,1,1,0,0,0,1,0
115,41.0,9.0,10.0,9.0,7.0,10.0,1.0,0,1,1,0,0,1,0,0
116,22.0,4.0,0.0,4.0,7.0,0.0,1.0,0,1,0,0,1,1,0,0
117,33.0,8.0,28.0,8.0,5.0,28.0,1.0,0,1,1,0,0,1,0,0
118,31.0,7.0,1.0,7.0,8.0,1.0,0.0,0,1,1,0,0,1,0,0
119,30.0,2.0,1.0,2.0,2.0,1.0,0.0,1,0,1,0,0,0,0,1
120,31.0,10.0,13.0,10.0,7.0,13.0,1.0,0,1,1,0,0,0,1,0
121,27.0,9.0,3.0,9.0,4.0,3.0,1.0,0,1,1,0,0,1,0,0
122,56.0,9.0,8.0,9.0,3.0,8.0,0.0,0,1,0,1,0,1,0,0
123,52.0,9.0,3.0,9.0,6.0,3.0,0.0,0,1,0,1,0,0,1,0
124,33.0,10.0,19.0,10.0,7.0,19.0,1.0,0,1,1,0,0,1,0,0
125,64.0,1.0,2.0,1.0,1.0,2.0,0.0,1,0,0,1,0,0,1,0
126,22.0,6.0,4.0,6.0,8.0,4.0,1.0,0,1,0,0,1,0,1,0
127,42.0,3.0,6.0,3.0,1.0,6.0,0.0,0,1,1,0,0,0,1,0
128,25.0,4.0,2.0,4.0,5.0,2.0,0.0,1,0,1,0,0,0,1,0
129,30.0,2.0,1.0,2.0,2.0,1.0,0.0,0,1,1,0,0,0,1,0
130,28.0,1.0,2.0,1.0,2.0,2.0,0.0,0,1,1,0,0,0,1,0
131,37.0,2.0,2.0,2.0,1.0,2.0,0.0,1,0,1,0,0,0,0,1
132,28.0,2.0,0.0,2.0,3.0,0.0,1.0,0,1,1,0,0,0,1,0
133,24.0,2.0,0.0,2.0,3.0,0.0,0.0,1,0,0,0,1,1,0,0
134,29.0,4.0,10.0,4.0,2.0,10.0,1.0,1,0,1,0,0,0,1,0
135,44.0,2.0,2.0,2.0,1.0,2.0,1.0,0,1,1,0,0,0,1,0
136,30.0,5.0,4.0,5.0,5.0,4.0,1.0,1,0,1,0,0,0,0,1
137,32.0,7.0,3.0,7.0,3.0,3.0,1.0,0,1,1,0,0,1,0,0
138,31.0,3.0,2.0,3.0,3.0,2.0,1.0,0,1,1,0,0,0,1,0
139,31.0,2.0,1.0,2.0,3.0,1.0,0.0,0,1,1,0,0,1,0,0
140,59.0,2.0,1.0,2.0,1.0,1.0,1.0,0,1,0,1,0,0,1,0
141,45.0,4.0,4.0,4.0,3.0,4.0,0.0,1,0,0,1,0,0,1,0
142,20.0,10.0,1.0,10.0,10.0,1.0,0.0,1,0,0,0,1,1,0,0
143,43.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0,1,0,0,0,1,0
144,38.0,8.0,9.0,8.0,4.0,9.0,1.0,0,1,1,0,0,1,0,0
145,32.0,6.0,11.0,6.0,5.0,11.0,1.0,0,1,1,0,0,1,0,0
146,33.0,5.0,8.0,5.0,2.0,8.0,1.0,0,1,1,0,0,1,0,0
147,31.0,3.0,0.0,3.0,2.0,0.0,1.0,1,0,1,0,0,1,0,0
148,33.0,9.0,7.0,9.0,9.0,7.0,1.0,1,0,1,0,0,1,0,0
149,27.0,9.0,2.0,9.0,8.0,2.0,1.0,0,1,1,0,0,1,0,0
150,20.0,6.0,0.0,6.0,8.0,0.0,0.0,1,0,0,0,1,1,0,0
151,26.0,6.0,0.0,6.0,3.0,0.0,0.0,1,0,1,0,0,0,1,0
152,61.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,1,0,0
153,52.0,7.0,13.0,7.0,6.0,13.0,1.0,0,1,0,1,0,0,0,1
154,63.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,1,0,0,0,1
155,32.0,10.0,4.0,10.0,9.0,4.0,1.0,1,0,1,0,0,1,0,0
